corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
246	25619	1	1	0	4165012	Los Angeles wildfires are nearly contained	null	null	null	null	UNANN	6669182	null	null	null	null
246	25619	1	1	0	4165012	Los Angeles wildfires are nearly contained	17614	wildfire.n	2835	Emergency_fire	MANUAL	6669590	12	20	WMcQ	wildfires
246	25619	1	3	0	4165013	The recent wildfires in Los Angeles , California , have burned more than 42,000 acres ( 17,000 hectares ) of land .	null	null	null	null	UNANN	6669183	null	null	null	null
246	25619	1	3	0	4165013	The recent wildfires in Los Angeles , California , have burned more than 42,000 acres ( 17,000 hectares ) of land .	17614	wildfire.n	2835	Emergency_fire	MANUAL	6669592	11	19	WMcQ	wildfires
246	25619	1	3	0	4165013	The recent wildfires in Los Angeles , California , have burned more than 42,000 acres ( 17,000 hectares ) of land .	17450	burn.v	2824	Fire_burning	MANUAL	6669596	56	61	WMcQ	burned
246	25619	1	3	0	4165013	The recent wildfires in Los Angeles , California , have burned more than 42,000 acres ( 17,000 hectares ) of land .	2858	acre.n	156	Measure_area	MANUAL	6669597	80	84	WMcQ	acres
246	25619	1	3	0	4165013	The recent wildfires in Los Angeles , California , have burned more than 42,000 acres ( 17,000 hectares ) of land .	2857	hectare.n	156	Measure_area	MANUAL	6669599	95	102	WMcQ	hectares
246	25619	1	4	0	4165014	Nearly 1,000 homes were destroyed , and more than 10,000 residents were evacuated .	null	null	null	null	UNANN	6669184	null	null	null	null
246	25619	1	4	0	4165014	Nearly 1,000 homes were destroyed , and more than 10,000 residents were evacuated .	3012	home.n	173	Buildings	MANUAL	6669815	13	17	WMcQ	homes
246	25619	1	4	0	4165014	Nearly 1,000 homes were destroyed , and more than 10,000 residents were evacuated .	2214	resident.n	110	Residence	MANUAL	6669816	57	65	WMcQ	residents
246	25619	1	4	0	4165014	Nearly 1,000 homes were destroyed , and more than 10,000 residents were evacuated .	7622	destroy.v	417	Destroying	MANUAL	6669817	24	32	WMcQ	destroyed
246	25619	1	4	0	4165014	Nearly 1,000 homes were destroyed , and more than 10,000 residents were evacuated .	1129	evacuate.v	63	Removing	MANUAL	6669818	72	80	WMcQ	evacuated
246	25619	1	4	0	4165014	Nearly 1,000 homes were destroyed , and more than 10,000 residents were evacuated .	14283	nearly.adv	1923	Proportional_quantity	MANUAL	6672454	0	5	MJE	Nearly
246	25619	1	5	0	4165015	Los Angeles Mayor Antonio Villaraigosa expressed concerns that Los Angeles was on the verge of a blackout , and California Governor Arnold Schwarzenegger has declared the situation a state of emergency .	null	null	null	null	UNANN	6669185	null	null	null	null
246	25619	1	5	0	4165015	Los Angeles Mayor Antonio Villaraigosa expressed concerns that Los Angeles was on the verge of a blackout , and California Governor Arnold Schwarzenegger has declared the situation a state of emergency .	12733	express.v	1622	Expressing_publicly	MANUAL	6669602	39	47	WMcQ	expressed
246	25619	1	5	0	4165015	Los Angeles Mayor Antonio Villaraigosa expressed concerns that Los Angeles was on the verge of a blackout , and California Governor Arnold Schwarzenegger has declared the situation a state of emergency .	1587	governor.n	73	Leadership	MANUAL	6669615	123	130	WMcQ	Governor
246	25619	1	5	0	4165015	Los Angeles Mayor Antonio Villaraigosa expressed concerns that Los Angeles was on the verge of a blackout , and California Governor Arnold Schwarzenegger has declared the situation a state of emergency .	714	declare.v	43	Statement	MANUAL	6669616	158	165	WMcQ	declared
246	25619	1	5	0	4165015	Los Angeles Mayor Antonio Villaraigosa expressed concerns that Los Angeles was on the verge of a blackout , and California Governor Arnold Schwarzenegger has declared the situation a state of emergency .	12596	state.n	1600	State_of_entity	MANUAL	6669617	183	187	WMcQ	state
246	25619	1	5	0	4165015	Los Angeles Mayor Antonio Villaraigosa expressed concerns that Los Angeles was on the verge of a blackout , and California Governor Arnold Schwarzenegger has declared the situation a state of emergency .	1594	mayor.n	73	Leadership	MANUAL	6672455	12	16	MJE	Mayor
246	25619	1	6	0	4165016	In terms of property damage , this fire is the worst since the Bel Air fire in 1961 .	null	null	null	null	UNANN	6669186	null	null	null	null
246	25619	1	6	0	4165016	In terms of property damage , this fire is the worst since the Bel Air fire in 1961 .	14650	damage.n	415	Damaging	MANUAL	6669619	21	26	WMcQ	damage
246	25619	1	6	0	4165016	In terms of property damage , this fire is the worst since the Bel Air fire in 1961 .	17455	fire.n	2824	Fire_burning	MANUAL	6669626	35	38	WMcQ	fire
246	25619	1	6	0	4165016	In terms of property damage , this fire is the worst since the Bel Air fire in 1961 .	17455	fire.n	2824	Fire_burning	MANUAL	6669627	71	74	WMcQ	fire
246	25619	1	6	0	4165016	In terms of property damage , this fire is the worst since the Bel Air fire in 1961 .	6288	bad.a	354	Desirability	MANUAL	6672456	47	51	MJE	worst
246	25619	1	7	0	4165017	Los Angeles County Supervisor Zev Yaroslavsky stated , `` Whether you live in a mobile home park or you live in an estate , when you lose your home it 's devastating . ''	null	null	null	null	UNANN	6669187	null	null	null	null
246	25619	1	7	0	4165017	Los Angeles County Supervisor Zev Yaroslavsky stated , `` Whether you live in a mobile home park or you live in an estate , when you lose your home it 's devastating . ''	753	state.v	43	Statement	MANUAL	6669628	46	51	WMcQ	stated
246	25619	1	7	0	4165017	Los Angeles County Supervisor Zev Yaroslavsky stated , `` Whether you live in a mobile home park or you live in an estate , when you lose your home it 's devastating . ''	2220	live.v	110	Residence	MANUAL	6669630	70	73	WMcQ	live
246	25619	1	7	0	4165017	Los Angeles County Supervisor Zev Yaroslavsky stated , `` Whether you live in a mobile home park or you live in an estate , when you lose your home it 's devastating . ''	2220	live.v	110	Residence	MANUAL	6669631	104	107	WMcQ	live
246	25619	1	7	0	4165017	Los Angeles County Supervisor Zev Yaroslavsky stated , `` Whether you live in a mobile home park or you live in an estate , when you lose your home it 's devastating . ''	15013	devastate.v	47	Experiencer_obj	MANUAL	6669635	154	164	WMcQ	devastating
246	25619	1	7	0	4165017	Los Angeles County Supervisor Zev Yaroslavsky stated , `` Whether you live in a mobile home park or you live in an estate , when you lose your home it 's devastating . ''	17661	supervisor.n	73	Leadership	MANUAL	6672457	19	28	MJE	Supervisor
246	25619	1	8	0	4165018	In Montecito , a census-designated place in Santa Barbara County , the homes of many celebrities , including Steven Spielberg , Steve Martin , Eric Schmidt , and Rob Lowe , have been destroyed .	null	null	null	null	UNANN	6669188	null	null	null	null
246	25619	1	8	0	4165018	In Montecito , a census-designated place in Santa Barbara County , the homes of many celebrities , including Steven Spielberg , Steve Martin , Eric Schmidt , and Rob Lowe , have been destroyed .	3697	place.n	192	Locale	MANUAL	6669640	35	39	WMcQ	place
246	25619	1	8	0	4165018	In Montecito , a census-designated place in Santa Barbara County , the homes of many celebrities , including Steven Spielberg , Steve Martin , Eric Schmidt , and Rob Lowe , have been destroyed .	3012	home.n	173	Buildings	MANUAL	6669643	71	75	WMcQ	homes
246	25619	1	8	0	4165018	In Montecito , a census-designated place in Santa Barbara County , the homes of many celebrities , including Steven Spielberg , Steve Martin , Eric Schmidt , and Rob Lowe , have been destroyed .	7622	destroy.v	417	Destroying	MANUAL	6669646	183	191	WMcQ	destroyed
246	25619	1	9	0	4165019	This massive fire has caused millions of dollars of damage and 13 injuries .	null	null	null	null	UNANN	6669189	null	null	null	null
246	25619	1	9	0	4165019	This massive fire has caused millions of dollars of damage and 13 injuries .	17455	fire.n	2824	Fire_burning	MANUAL	6669667	13	16	WMcQ	fire
