corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23792	1	1	0	4106378	Dear ,	null	null	null	null	UNANN	6556431	null	null	null	null
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	null	null	null	null	UNANN	6556432	null	null	null	null
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	13369	few.a	189	Quantified_mass	MANUAL	6557103	2	4	AlK	few
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	9154	ago.idio	379	Time_vector	MANUAL	6557104	13	15	AlK	ago
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	7537	receive.v	411	Receiving	MANUAL	6557105	21	28	AlK	received
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	5399	letter.n	298	Text	MANUAL	6557106	32	37	AlK	letter
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	9177	tell.v	750	Telling	MANUAL	6557107	47	53	AlK	telling
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	12598	success.n	1388	Success_or_failure	MANUAL	6557108	59	65	AlK	success
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	5511	people.n	304	People	MANUAL	6557109	78	83	AlK	people
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	3877	month.n	224	Measure_duration	MANUAL	6557110	6	11	AlK	months
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	4343	get.v	179	Getting	MANUAL	6557111	89	91	AlK	got
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	5785	job.n	282	Being_employed	MANUAL	6557112	93	96	AlK	jobs
195	23792	1	2	0	4106379	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill 's help .	12165	help.n	391	Assistance	MANUAL	6557113	115	118	AlK	help
195	23792	1	3	0	4106380	Here 's another story of success from what might seem like an unlikely source : Goodwill 's controller , Juli .	null	null	null	null	UNANN	6556433	null	null	null	null
195	23792	1	3	0	4106380	Here 's another story of success from what might seem like an unlikely source : Goodwill 's controller , Juli .	10175	another.a	1001	Increment	MANUAL	6557114	8	14	AlK	another
195	23792	1	3	0	4106380	Here 's another story of success from what might seem like an unlikely source : Goodwill 's controller , Juli .	12598	success.n	1388	Success_or_failure	MANUAL	6557115	25	31	AlK	success
195	23792	1	3	0	4106380	Here 's another story of success from what might seem like an unlikely source : Goodwill 's controller , Juli .	6506	might.v	114	Likelihood	MANUAL	6557116	43	47	AlK	might
195	23792	1	3	0	4106380	Here 's another story of success from what might seem like an unlikely source : Goodwill 's controller , Juli .	1325	seem.v	67	Give_impression	MANUAL	6557117	49	52	AlK	seem
195	23792	1	3	0	4106380	Here 's another story of success from what might seem like an unlikely source : Goodwill 's controller , Juli .	8995	like.prep	481	Similarity	MANUAL	6557118	54	57	AlK	like
195	23792	1	3	0	4106380	Here 's another story of success from what might seem like an unlikely source : Goodwill 's controller , Juli .	2287	unlikely.a	114	Likelihood	MANUAL	6557119	62	69	AlK	unlikely
195	23792	1	3	0	4106380	Here 's another story of success from what might seem like an unlikely source : Goodwill 's controller , Juli .	13335	source.n	1148	Attributed_information	MANUAL	6557120	71	76	AlK	source
195	23792	2	3	0	4106381	She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $ 49 million dollars .	null	null	null	null	UNANN	6556434	null	null	null	null
195	23792	2	3	0	4106381	She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $ 49 million dollars .	9177	tell.v	750	Telling	MANUAL	6557121	4	8	AlK	tells
195	23792	2	3	0	4106381	She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $ 49 million dollars .	5511	people.n	304	People	MANUAL	6557122	28	33	AlK	people
195	23792	2	3	0	4106381	She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $ 49 million dollars .	7041	help.v	391	Assistance	MANUAL	6557123	38	43	AlK	helped
195	23792	2	3	0	4106381	She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $ 49 million dollars .	11227	find.v	792	Locating	MANUAL	6557124	45	48	AlK	find
195	23792	2	3	0	4106381	She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $ 49 million dollars .	5785	job.n	282	Being_employed	MANUAL	6557125	50	53	AlK	jobs
