corpID	docID	sentNo	paragNo	aPos	ID	text	tokenFragment	start	tokenFragment	end	charSegment	start	charSegment	end	babelSynsetID	DBpediaURL	BabelNetURL	score	coherenceScore	globalScore	source
135	23671	1	1	0	4100798	Introduction	0	0	0	11	bn:00047289n	http://dbpedia.org/resource/Introduction_(writing)	http://babelnet.org/rdf/s00047289n	0.0	0.0	0.0	MCS
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	0	0	0	4	bn:00016756n	http://dbpedia.org/resource/Cathay	http://babelnet.org/rdf/s00016756n	0.796875	0.6923077	0.13374126	BABELFY
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	1	1	6	14	bn:00091873v		http://babelnet.org/rdf/s00091873v	0.0	0.0	0.0	MCS
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	2	2	16	22	bn:00107641a		http://babelnet.org/rdf/s00107641a	0.8	0.15384616	0.0034965035	BABELFY
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	2	3	16	30	bn:00006938n	http://dbpedia.org/resource/Nuclear_weapon	http://babelnet.org/rdf/s00006938n	1.0	0.6923077	0.15734266	BABELFY
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	3	3	24	30	bn:00005704n	http://dbpedia.org/resource/Weapon	http://babelnet.org/rdf/s00005704n	0.9770115	0.7692308	0.1486014	BABELFY
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	6	6	36	40	bn:03727912n	http://dbpedia.org/resource/Range_of_a_projectile	http://babelnet.org/rdf/s03727912n	0.79545456	0.3846154	0.030594405	BABELFY
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	8	8	45	53	bn:00098005a		http://babelnet.org/rdf/s00098005a	1.0	0.3846154	0.026223777	BABELFY
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	8	9	45	61	bn:00008179n	http://dbpedia.org/resource/Ballistic_missile	http://babelnet.org/rdf/s00008179n	1.0	0.53846157	0.06118881	BABELFY
135	23671	1	2	0	4100799	China possesses nuclear weapons , a range of ballistic missile capabilities , and the ability to develop chemical and biological weapons .	9	9	55	61	bn:00055322n	http://dbpedia.org/resource/Missile	http://babelnet.org/rdf/s00055322n	0.0	0.0	0.0	MCS
